Anthelmintic,CB4856,CX11314,DL238,JU775,MY16,N2
Abamectin,5.12 ± 0.37,2.51 ± 0.18,5.63 ± 0.49,3.18 ± 0.2,2.16 ± 0.16,4.27 ± 0.25
Albendazole,0.41 ± 0.01,0.51 ± 0.02,0.37 ± 0.01,0.41 ± 0.01,9.77 ± 2.76,0.39 ± 0.01
Benomyl,0.37 ± 0.01,0.47 ± 0.02,0.42 ± 0.01,0.39 ± 0.02,1.57 ± 0.12,0.45 ± 0.02
Closantel,1.03 ± 0.05,0.69 ± 0.03,1.09 ± 0.06,0.74 ± 0.04,0.8 ± 0.04,0.79 ± 0.04
Cry5B,0.42 ± 0.04,0.64 ± 0.05,0.39 ± 0.03,0.83 ± 0.07,0.45 ± 0.04,0.64 ± 0.05
Derquantel,1.1 ± 0.11,1.11 ± 0.11,1.07 ± 0.1,0.91 ± 0.09,1.1 ± 0.12,1.44 ± 0.14
Diethylcarbamazine,1.28 ± 0.12,1.1 ± 0.09,1.21 ± 0.1,1.18 ± 0.11,0.91 ± 0.06,1.23 ± 0.11
Doramectin,7.97 ± 0.74,3.11 ± 0.19,5.22 ± 0.3,5.12 ± 0.37,3.36 ± 0.19,6.98 ± 0.57
Emodepside,1.27 ± 0.06,2.07 ± 0.12,1.75 ± 0.09,1.26 ± 0.06,1.78 ± 0.1,2.02 ± 0.12
Eprinomectin,2.35 ± 0.21,2.37 ± 0.17,4.22 ± 0.36,2.68 ± 0.2,2.1 ± 0.14,2.91 ± 0.27
Fenbendazole,0.31 ± 0.02,0.54 ± 0.03,0.37 ± 0.02,0.41 ± 0.02,1.28 ± 0.09,0.36 ± 0.02
Ivermectin,5.19 ± 0.39,3.86 ± 0.3,7.05 ± 0.7,4.09 ± 0.27,3.83 ± 0.24,5.46 ± 0.41
Levamisole,0.33 ± 0.03,0.08 ± 0.02,0.37 ± 0.03,0.18 ± 0.02,0.24 ± 0.04,0.24 ± 0.03
Mebendazole,0.34 ± 0.01,0.5 ± 0.02,0.39 ± 0.02,0.38 ± 0.02,1.5 ± 0.13,0.4 ± 0.02
Milbemycin,1.08 ± 0.07,1.31 ± 0.09,91.19 ± 20.43,2.1 ± 0.14,0.47 ± 0.06,1.04 ± 0.07
Monepantel LY33414916,0.63 ± 0.03,0.73 ± 0.04,0.81 ± 0.04,0.45 ± 0.02,0.67 ± 0.04,0.72 ± 0.04
Monepantel LY3348298,0.89 ± 0.07,0.91 ± 0.07,0.92 ± 0.07,0.47 ± 0.03,0.65 ± 0.05,1.03 ± 0.07
Morantel,0.5 ± 0.05,0.15 ± 0.02,0.23 ± 0.02,0.33 ± 0.03,0.17 ± 0.02,0.35 ± 0.03
Niridazole,0.61 ± 0.06,0.75 ± 0.08,0.92 ± 0.11,0.63 ± 0.07,0.67 ± 0.07,0.74 ± 0.08
Pyrantel citrate,0.7 ± 0.06,0.51 ± 0.04,0.54 ± 0.03,0.57 ± 0.04,0.36 ± 0.02,0.65 ± 0.04
Selamectin,2.83 ± 0.31,2.31 ± 0.22,3.26 ± 0.29,3.33 ± 0.37,1.55 ± 0.13,3.5 ± 0.36
Thiabendazole,0.92 ± 0.03,0.85 ± 0.03,0.68 ± 0.02,0.65 ± 0.02,1.99 ± 0.11,1.02 ± 0.04
