Drug,Drug Class,PubChem CID,Source,CAS,Catalog Number,Diluent,Stock Concentraiton,Highest Dose (然),Diluton Factor,,,,,,,,,,,,,,,,
Monepantel_LY33414916,Nicotinic acetylcholine receptor (nAChR) antagonists,44449087,Alsachim,n/a,n/a,DMSO,100 mM,1.2,2.2,,,,,,,,,,,,,,,,
Monepantel_LY3348298,Nicotinic acetylcholine receptor (nAChR) antagonists,44449087,Alsachim,n/a,n/a,DMSO,100 mM,1.2,2.2,,,,,,,,,,,,,,,,
Albendazole,Benzimidazoles,2082,Fluka,54965-21-8,A4673-10G,DMSO,100 mM,113.38,2.2,,,,,,,,,,,,,,,,
Benomyl,Benzimidazoles,28780,Sigma-Aldrich,17804-35-2,45339-250MG,DMSO,30 mM,100,2.2,,,,,,,,,,,,,,,,
Fenbendazole,Benzimidazoles,3334,Sigma-Aldrich,43210-67-9,F5396-5G,DMSO,100 mM,113.38,2.2,,,,,,,,,,,,,,,,
Mebendazole,Benzimidazoles,4030,Fluka,31431-39-7,M2523-25G,DMSO,100 mM,96.0,2,,,,,,,,,,,,,,,,
Thiabendazole,Benzimidazoles,5430,Sigma,148-79-8,T5535-50G,DMSO,100 mM,204.07,1.8,,,,,,,,,,,,,,,,
Emodepside,Cyclooctadepsipeptides,6918632,Bayer,155030-63-0,,DMSO,10 mM,0.9,1.8,,,,,,,,,,,,,,,,
Abamectin,Macrocyclic lactones,6435890,Millipore Sigma,71751-41-2,31732,DMSO,100 然,0.004,1.2,,,,,,,,,,,,,,,,
Doramectin,Macrocyclic lactones,9832750,Millipore Sigma,117704-25-3,33993,DMSO,100 然,0.0120,1.5,,,,,,,,,,,,,,,,
Eprinomectin,Macrocyclic lactones,6450531,Millipore Sigma,123997-26-2,32526,DMSO,100 然,0.15,1.5,,,,,,,,,,,,,,,,
Ivermectin,Macrocyclic lactones,6321424,Sigma-Aldrich,70288-86-7,I8898-1G,DMSO,100 然,0.0270,1.5,,,,,,,,,,,,,,,,
Milbemycin oxime,Macrocyclic lactones,145712259,Millipore Sigma,129496-10-2,1443806,DMSO,10 mM,0.35,1.3,,,,,,,,,,,,,,,,
Moxidectin,Macrocyclic lactones,9832912,Millipore Sigma,113507-06-5,113507-06-5,DMSO,100 然,0.004,1.2,,,,,,,,,,,,,,,,
Selamectin,Macrocyclic lactones,9578507,Sigma-Aldrich,220119-17-5,SML2663-25MG,DMSO,19 mM,1.33,1.5,,,,,,,,,,,,,,,,
Levamisole hyrochloride,Nicotinic receptor agonists,26879,Sigma-Aldrich,16595-80-5,31742,DMSO,100 mM,132.00,2.2,,,,,,,,,,,,,,,,
Morantel citrate salt,Nicotinic receptor agonists,5353792,Sigma-Aldrich,69525-81-1,M5404-5G,DMSO,100 mM,330.00,2,,,,,,,,,,,,,,,,
Pyrantel citrate,Nicotinic receptor agonists,6436405,Sigma-Aldrich,5685-86-9,P7549-10G,DMSO,100 mM,300.00,2,,,,,,,,,,,,,,,,
Closantel,Other,42574,Sigma-Aldrich,57808-65-8,34093-100MG,DMSO,30 mM,100,2.2,,,,,,,,,,,,,,,,
Derquantel,Spiroindoles,25154194,Cayman Chemical,,19441,DMSO,100 mM,165.00,2,,,,,,,,,,,,,,,,
Diethylcarbamazine citrate,Other,3052,Sigma-Aldrich,1642-54-2,1193006,DMSO,200 mM,660,1.75,,,,,,,,,,,,,,,,
"Insecticidal crystal protein, Bacillus Thuringiensis (Cry5B)",,152186871,Raffi V. Aroian,n/a,n/a,water,10 mM,33.00,1.5,,,,,,,,,,,,,,,,
Niridazole,"1,3-thiazoles",6093,Alfa Chemistry,,61-57-4,DMSO,100 mM,330.00,2,,,,,,,,,,,,,,,,
Oxamniquine,Quinolines,4612,Sigma-Aldrich,21738-42-1,PZ0393-25MG,DMSO,44 mM,145.00,1.25,,,,,,,,,,,,,,,,
Piperazine,Other,4837,Sigma-Aldrich,110-85-0,P45907-5G,DMSO,100 mM,330.00,1.5,,,,,,,,,,,,,,,,
Praziquantel,Praziquantel,445900,Sigma-Aldrich,55268-74-1,P4668-5G,DMSO,330 mM,1100,1.5,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
