Anthelmintic,CB4856,CX11314,DL238,JU775,MY16,N2
Abamectin,0.0016 ± 1e-04,0.0011 ± 1e-04,0.0017 ± 1e-04,0.0013 ± 1e-04,9e-04 ± 1e-04,0.0015 ± 0
Albendazole,0.6147 ± 0.1033,1.7831 ± 0.2408,0.3425 ± 0.0602,0.633 ± 0.1033,109.8385 ± 1.8866,0.5205 ± 0.0828
Benomyl,0.4234 ± 0.0892,1.3704 ± 0.2424,0.7825 ± 0.1364,0.5039 ± 0.108,36.773 ± 3.5012,1.1831 ± 0.1975
Closantel,1.3907 ± 0.1653,0.4909 ± 0.0789,1.5538 ± 0.1953,0.6079 ± 0.0936,0.7476 ± 0.1125,0.7358 ± 0.1014
Cry5B,0.2979 ± 0.1249,1.6593 ± 0.4213,0.1804 ± 0.0829,3.6799 ± 0.7222,0.3896 ± 0.1494,1.7178 ± 0.3852
Derquantel,16.8662 ± 3.4992,17.0847 ± 3.4569,15.7599 ± 3.1218,11.194 ± 2.801,16.6971 ± 3.7218,26.8163 ± 4.1677
Diethylcarbamazine,315.4501 ± 32.3681,237.3813 ± 26.0249,283.8098 ± 26.3102,273.8262 ± 31.3646,157.966 ± 17.2921,294.6744 ± 29.8614
Doramectin,0.0053 ± 1e-04,0.0034 ± 2e-04,0.0046 ± 1e-04,0.0045 ± 1e-04,0.0036 ± 1e-04,0.0051 ± 1e-04
Emodepside,0.032 ± 0.0027,0.0622 ± 0.0042,0.0514 ± 0.0039,0.0315 ± 0.0026,0.0522 ± 0.0037,0.0607 ± 0.0041
Eprinomectin,0.0365 ± 0.0029,0.0367 ± 0.0024,0.0552 ± 0.003,0.0409 ± 0.0025,0.0327 ± 0.0023,0.0436 ± 0.0029
Fenbendazole,0.1175 ± 0.0395,2.2557 ± 0.4481,0.3759 ± 0.0967,0.6236 ± 0.1506,24.2029 ± 3.0107,0.2868 ± 0.0758
Ivermectin,0.0058 ± 2e-04,0.005 ± 2e-04,0.0065 ± 2e-04,0.0052 ± 2e-04,0.005 ± 2e-04,0.006 ± 2e-04
Levamisole,0.0031 ± 0.002,0 ± 0,0.0071 ± 0.0035,0 ± 0,3e-04 ± 4e-04,3e-04 ± 3e-04
Mebendazole,0.2092 ± 0.0562,1.5119 ± 0.2826,0.4447 ± 0.0982,0.3825 ± 0.0951,28.2513 ± 3.3381,0.4823 ± 0.1054
Milbemycin,0.0468 ± 0.0063,0.0666 ± 0.0073,0.3478 ± 0.001,0.1249 ± 0.0085,0.0033 ± 0.0019,0.0429 ± 0.0064
Monepantel LY33414916,0.0173 ± 0.0033,0.0275 ± 0.0049,0.0372 ± 0.0052,0.0045 ± 0.0011,0.0213 ± 0.0038,0.0264 ± 0.0042
Monepantel LY3348298,0.023 ± 0.0045,0.0238 ± 0.0048,0.0243 ± 0.0047,0.0025 ± 9e-04,0.0089 ± 0.0023,0.0317 ± 0.0053
Morantel,4.274 ± 1.5998,1e-04 ± 3e-04,0.0208 ± 0.0213,0.4174 ± 0.2607,8e-04 ± 0.0013,0.6292 ± 0.321
Niridazole,84.6896 ± 14.9001,170.4222 ± 27.517,289.9861 ± 44.9554,94.661 ± 18.5771,121.1339 ± 19.9912,161.8338 ± 26.0442
Pyrantel,31.4823 ± 6.9312,10.0457 ± 2.7759,12.2773 ± 2.7104,15.6649 ± 3.8742,1.5061 ± 0.5603,24.7737 ± 4.4362
Selamectin,0.4592 ± 0.04,0.3866 ± 0.0353,0.5095 ± 0.0343,0.517 ± 0.0396,0.2425 ± 0.0276,0.533 ± 0.0373
Thiabendazole,21.6801 ± 1.8274,17.7594 ± 1.8515,9.1241 ± 0.9215,8.2154 ± 0.8851,78.0895 ± 4.6098,27.2694 ± 2.1582
